US20030122874A1: (dynamic, document, )
US20020199172A1: (dynamic, instrumentation, )
US20020199172A1: (collection, event data, )
US20020199172A1: (execute, target computer, )
US20020199172A1: (collection, target data, routine)
US20020199172A1: (collection, target data, )
US20020199172A1: (collection, , routine)
US20020199172A1: (include, data collection, )
US20020199172A1: (buffer, data collection, )
US20020199172A1: (buffer, target data, )
US20020199172A1: (store, event data, )
US20020199172A1: (control, , routine)
US20020199172A1: (execution, instrumentation, routine)
US20020199172A1: (execution, instrumentation, )
US20020199172A1: (execution, , redirection)
US20020199172A1: (execution, target computer, )
US20020199172A1: (trace, target computer, )
US20020199172A1: (transfer, event data, )
US20020199172A1: (executable, program code, )
US20020199172A1: (provide, program code, )
US20020199172A1: (memory, computer system, )
US20020199172A1: (intercept, program code, )
US20020199172A1: (insertion, , deterministic)
US20020199172A1: (location, , within)
US20020199172A1: (capture, event, routine)
US20020199172A1: (execute, event, )
US20020199172A1: (capture, event, )
US20020199172A1: (capture, , routine)
US20020199172A1: (collection, execution data, routine)
US20020199172A1: (execution, event, )
US20020199172A1: (sequence, , selectively)
US20020199172A1: (collection, execution data, )
US20020199172A1: (associate, record data, )
US20020199172A1: (execution, diagnostic system, )
US20020199172A1: (support, diagnostic system, )
US20020199172A1: (target, instrumentation, )
US20020199172A1: (execute, , within)
US20020199172A1: (traceable, event, within)
US20020199172A1: (execution, trace data, )
US20020199172A1: (occurrence, reflective, )
US20020199172A1: (traceable, event, )
US20020199172A1: (executable, , within)
US20020199172A1: (address, , within)
US20020199172A1: (collection, trace data, routine)
US20020199172A1: (collection, trace data, )
US20020199172A1: (executable, , selectively)
US20020199172A1: (provide, trace data, )
US20020199172A1: (buffer, trace data, )
US20020199172A1: (patch, , routine)
US20020199172A1: (establish, , deterministic)
US20020199172A1: (execution, path, )
US20020199172A1: (address, path, )
US20020199172A1: (collect, trace data, deterministic)
US20020199172A1: (collect, trace data, )
US20020199172A1: (collect, , deterministic)
US20020199172A1: (program, impact system, )
US20020199172A1: (behavior, impact system, )
US20020199172A1: (program, computer, )
===========================
US20030090707A1: (via, , least)
US20030090707A1: (one, , network service)
US20030090707A1: (include, image data, )
US20030090707A1: (incorporate, image data, )
US20030090707A1: (user, image data, )
US20030090707A1: (content, client device, )
US20030090707A1: (execution, client device, )
US20030090707A1: (execution, client browser, )
US20030090707A1: (enable, client device, )
US20030090707A1: (display, user interface, )
US20030090707A1: (configure, user interface, )
US20030090707A1: (select, image data, )
US20030090707A1: (use, image data, )
US20030090707A1: (selection, image data, )
US20030090707A1: (present, user interface, )
US20030090707A1: (present, client device, )
US20030090707A1: (receive, image data, )
US20030090707A1: (service, image data, )
US20030090707A1: (make, image data, )
US20030090707A1: (one, document, )
US20030090707A1: (use, document, )
US20030090707A1: (user, , one page)
WO01031465A1: (assembly, document, )
WO01031465A1: (upload, document, )
WO01031465A1: (via, document, )
WO01031465A1: (via, electronic network, )
WO01031465A1: (production, document, )
WO01031465A1: (execute, printer driver, )
WO01031465A1: (printing, document, )
WO01031465A1: (opening, electronic connection, )
WO01031465A1: (communicate, document, )
WO01031465A1: (input, assembly information, )
WO01031465A1: (input, document, )
WO01031465A1: (open, electronic connection, )
===========================
US20060225015A1: (medium, , contains)
US20060225015A1: (floor, planning information, )
US20060225015A1: (configuration, electronic system, )
US20060225015A1: (definition, floor plan, )
US20060225015A1: (group, floor plan, )
US20060225015A1: (process, electronic system, )
US20060225015A1: (separate, , intellectual property)
US20060225015A1: (block, , representation)
US20060225015A1: (view, interconnects, )
US20060225015A1: (base, , physical location)
US20060225015A1: (chip, , group component)
US20060225015A1: (make, interconnects, )
US20060225015A1: (communication, , first set)
US20060225015A1: (core, well, )
US20060225015A1: (communication, well, )
US20060225015A1: (second, interconnects, )
US20060225015A1: (combine, interconnects, )
US20050268268A1: (application, design structure, specific)
US20050268268A1: (implement, computer, )
US20050268268A1: (implement, design structure, )
US20050268268A1: (application, design structure, )
US20050268268A1: (application, , specific)
US20050268268A1: (access, object, )
US20050268268A1: (representative, object, )
US20050268268A1: (representative, source code, )
US20050268268A1: (structure, source code, )
US20050268268A1: (structure, asic, )
US20050268268A1: (flatten, object, )
US20050268268A1: (remove, object, )
US20050268268A1: (remove, hierarchy, )
US20050268268A1: (associate, hierarchy, )
US20050268268A1: (associate, source code, )
US20050268268A1: (accommodate, object, )
US20050268268A1: (cluster, object, within)
US20050268268A1: (cluster, object, )
US20050268268A1: (design, area, )
US20050268268A1: (structure, area, )
US20050268268A1: (place, object, within)
US20050268268A1: (place, object, )
US20050268268A1: (assign, area, )
===========================
US20050177792A1: (customize, user interface, intelligent software)
US20050177792A1: (present, user interface, )
US20050177792A1: (customize, user interface, )
US20050177792A1: (customize, , intelligent software)
US20050177792A1: (request, , remotely)
US20050177792A1: (locate, client, )
US20050177792A1: (transmit, panel information, )
US20050177792A1: (panel, user interface, capable)
US20050177792A1: (panel, user interface, )
US20050177792A1: (panel, , capable)
US20050177792A1: (site, client, )
US20050177792A1: (one, , intelligent software)
US20050177792A1: (agent, , remotely)
US20050177792A1: (locate, , relative)
US20050177792A1: (agent, computer, remotely)
US20050177792A1: (customization, , intelligent software)
US20050177792A1: (agent, computer, )
US20050177792A1: (panel, , remotely)
US20050177792A1: (customization, panel information, remotely)
US20050177792A1: (customization, panel information, )
US20050177792A1: (display, user interface, )
US20050177792A1: (one, , remotely)
US20050177792A1: (locate, , intelligent software)
US20050177792A1: (readable medium, computer, )
US20050177792A1: (issue, , remotely)
US20050177792A1: (prepare, panel information, )
US20050177792A1: (communication, client, )
US20050177792A1: (configure, provider, )
US20050177792A1: (one, client, )
US20050177792A1: (response, client, )
US20050177792A1: (provide, , least)
US20040205772A1: (system, bot, )
US20040205772A1: (component, first software, )
US20040205772A1: (local, client, )
US20040205772A1: (platform, client, )
US20040205772A1: (second, , software component)
US20040205772A1: (associate, first software, )
US20040205772A1: (execution, first server, )
US20040205772A1: (platform, first server, )
US20040205772A1: (remote, client, )
US20040205772A1: (response, launch message, )
US20040205772A1: (initiate, launch message, )
US20040205772A1: (initiate, first software, )
US20040205772A1: (execution, second server, )
US20040205772A1: (platform, second server, )
US20040205772A1: (implement, data storage, )
US20040205772A1: (use, data storage, )
US20040205772A1: (software, bot, )
US20040205772A1: (component, sibling, )
US20040205772A1: (execution, sibling, )
US20040205772A1: (first, bot, )
US20040205772A1: (management, bot, )
US20040205772A1: (include, , mean)
US20040205772A1: (model, , knowledge)
US20040205772A1: (create, , least)
US20040205772A1: (one, user profile, )
US20040205772A1: (base, user profile, )
US20040205772A1: (copy, user profile, )
US20040205772A1: (access, sibling, )
US20040205772A1: (execution, computer program, )
US20040205772A1: (core, , software component)
US20040205772A1: (one, , direction)
US20040205772A1: (manage, communication component, )
US20040205772A1: (component, , least)
US20040205772A1: (external, computer program, )
US20040205772A1: (provide, event, )
US20040205772A1: (registry, event, )
US20040205772A1: (container, , safe execution)
US20040205772A1: (select, event, )
US20040205772A1: (enter, event, )
US20040205772A1: (enter, event, )
US20040205772A1: (store, , least)
US20040205772A1: (one, class, )
US20040205772A1: (code, class, )
US20040205772A1: (inventory, class, )
US20040205772A1: (store, class, )
